woman;age;education;work;metropolitan_area;non_white;urban;work_permit;poverty
1;35;5;1;2;2;1;3;2
1;55;1;1;2;2;1;3;2
2;54;2;2;2;2;1;1;2
1;52;1;6;2;2;1;3;1
2;28;2;1;2;1;1;3;1
1;35;2;2;2;1;1;2;1
1;31;5;1;2;2;1;1;2
1;46;2;5;2;2;1;2;1
2;47;4;11;2;1;2;1;1
1;50;4;5;2;1;2;1;1
1;48;7;5;2;2;2;3;1
2;36;7;9;2;2;2;3;1
2;19;6;7;2;1;2;1;1
1;36;2;2;2;2;2;3;1
2;34;6;6;2;2;2;2;1
1;44;3;2;2;2;2;3;1
1;23;6;4;2;2;2;2;1
1;55;2;3;3;2;2;3;2
1;40;3;10;3;2;2;3;1
2;72;5;9;3;2;2;3;1
1;48;5;3;3;2;2;3;1
2;22;5;6;3;2;2;3;1
2;55;7;8;3;2;2;3;1
1;62;2;3;3;2;2;3;1
2;50;7;9;2;2;2;3;1
1;42;5;7;2;1;2;2;1
1;42;2;4;2;1;2;3;1
1;57;7;7;2;2;2;3;1
2;40;6;7;2;2;2;2;1
2;48;7;2;2;2;2;3;1
1;30;4;2;2;2;2;2;1
1;20;4;4;2;1;2;2;1
1;28;3;1;2;2;1;3;2
1;48;2;1;2;2;1;2;1
2;27;7;4;2;2;1;2;1
1;30;5;1;2;2;1;3;2
2;23;4;11;2;2;1;1;2
1;45;2;1;2;2;1;3;1
2;42;7;9;2;1;1;3;1
1;30;3;1;2;1;1;3;2
1;49;2;1;2;1;1;3;1
2;40;5;4;2;2;2;3;1
1;32;5;3;2;2;2;1;1
1;19;4;3;2;2;2;1;1
1;57;2;1;2;2;2;2;1
1;46;3;2;2;2;2;2;1
1;57;3;4;2;2;2;3;1
2;33;7;3;3;2;2;3;1
1;35;5;3;3;2;2;2;1
1;31;6;8;3;2;2;3;1
1;25;5;4;3;1;2;2;2
1;49;2;3;3;2;2;3;1
2;42;2;11;3;1;2;2;1
2;28;5;11;3;1;2;2;1
1;23;4;4;3;2;2;2;1
1;27;3;4;3;2;2;3;2
1;43;2;3;3;1;2;3;1
2;42;7;9;3;2;2;2;2
1;22;4;4;3;1;2;2;1
2;43;4;4;3;2;2;2;1
1;48;2;5;3;2;2;2;1
2;55;2;6;3;2;2;2;1
1;53;2;1;2;2;1;3;1
1;51;1;1;2;1;1;3;1
1;67;2;1;2;1;2;3;1
1;29;7;7;2;2;2;3;1
2;28;7;7;2;1;2;3;1
2;40;7;1;2;1;2;3;1
1;30;5;7;2;2;2;3;2
1;63;5;3;3;1;2;3;1
1;50;7;9;3;2;2;2;1
1;33;6;2;3;2;2;3;1
1;69;5;6;3;2;2;3;1
1;56;5;4;3;1;2;3;1
2;48;7;8;3;1;2;3;1
1;44;5;4;3;2;2;3;1
2;46;5;8;3;2;2;3;1
2;51;2;9;3;2;2;2;1
1;44;4;3;3;1;2;2;1
2;53;7;10;3;1;2;2;2
2;44;7;9;3;2;2;2;1
1;29;5;4;3;2;2;3;1
1;54;2;1;2;2;1;3;1
1;77;2;1;2;2;1;3;1
1;68;2;1;2;1;1;3;1
1;36;2;1;2;2;1;3;2
2;40;2;4;2;1;1;3;2
1;38;5;4;2;1;1;3;2
1;36;7;9;2;1;2;3;1
1;40;2;1;2;2;2;3;1
2;35;5;4;2;2;2;2;1
1;48;7;9;2;2;2;1;1
1;50;2;4;2;1;2;3;1
2;37;5;4;2;1;2;3;1
1;26;5;5;2;1;2;2;1
1;67;4;8;2;2;2;3;1
2;64;2;6;2;1;2;3;1
1;33;5;5;2;2;2;2;2
1;51;2;1;2;2;1;3;2
1;48;2;4;2;1;1;2;1
2;42;2;1;2;2;1;3;1
2;17;4;7;2;2;1;1;1
1;51;2;1;2;2;1;1;2
2;47;2;4;2;2;1;3;2
1;62;2;1;2;2;1;3;1
1;39;2;1;2;1;1;1;2
1;70;2;1;2;2;1;3;2
1;60;2;1;2;2;1;3;1
2;32;6;1;2;2;1;3;1
1;61;6;8;2;2;2;2;1
1;29;7;8;2;2;2;3;1
2;28;7;7;2;2;2;2;1
1;38;7;7;2;2;2;3;1
2;32;7;7;2;2;2;2;1
2;38;4;4;2;1;2;3;2
2;60;4;8;2;1;2;3;1
2;57;7;9;3;2;2;3;1
1;67;4;8;3;2;2;3;1
2;65;7;4;3;2;2;2;1
1;64;7;7;3;1;2;1;1
2;42;7;8;2;2;2;3;1
1;44;7;4;2;1;2;3;1
2;41;7;4;2;1;2;3;1
1;23;6;4;2;1;2;3;1
1;35;3;7;2;2;2;2;1
2;36;6;9;2;2;2;3;1
1;40;5;1;2;2;2;3;1
1;49;3;4;2;2;2;3;1
2;31;7;8;2;1;2;3;1
1;46;5;5;2;1;2;3;1
1;30;7;2;2;1;2;2;1
1;41;2;5;2;1;2;2;2
1;24;5;4;2;1;2;2;2
2;46;7;9;2;2;2;3;1
1;16;2;4;2;2;2;1;1
1;28;5;5;2;2;2;3;1
1;49;2;8;2;2;2;3;1
1;27;2;2;2;2;2;2;1
1;36;5;3;2;1;2;3;1
1;36;3;7;2;2;2;2;1
2;34;4;7;2;2;2;2;1
